Income,HousingExpense,TransportationExpense,FoodExpense,UtilitiesExpense,EntertainmentExpense,Savings,HousingBudget,TransportationBudget,FoodBudget,UtilitiesBudget,EntertainmentBudget,SavingsBudget
33925.0,7933.0,2382.0,5321.0,2410.0,2587.0,5023.0,30.9206423448706,9.284377923292798,20.739787963829123,9.393514187714375,10.08341128780792,19.57826629248519
,6992.0,2536.0,5694.0,3216.0,1060.0,-6054.0,27.363807138384477,9.924859110832813,22.283969943644333,12.58609893550407,4.148403256105198,23.69286161552912
,7655.0,2249.0,5402.0,3555.0,1836.0,1777.0,34.061582272848625,10.007119337901576,24.036664590193112,,8.169440242057489,7.906914656936904
28831.0,9429.0,1028.0,6110.0,3377.0,1979.0,,37.5911972252123,4.0983933341306855,,13.46330183789818,7.889805844595942,12.59817406211378
33537.0,10555.0,1922.0,7197.0,3542.0,2007.0,4703.0,35.27033348927354,6.422508855176101,24.0493216600949,11.835861792421303,6.706542805587115,15.715431397447036
33884.0,9140.0,1422.0,,2894.0,2090.0,3226.0,38.083333333333336,5.925,21.78333333333333,12.058333333333334,8.708333333333334,13.441666666666666
38039.0,8203.0,1898.0,,2766.0,,3368.0,32.11824588880188,7.431480031323415,27.4079874706343,10.830070477682067,9.025058731401725,13.187157400156618
36767.0,10996.0,2490.0,5218.0,2631.0,1982.0,4300.0,,9.01618568273165,18.894159394575805,9.526740775609223,7.176738965130173,
36732.0,7374.0,2152.0,5152.0,2972.0,1815.0,6299.0,28.62133209129017,8.352740257723957,19.9968948920975,11.535475857786055,7.044713553795995,24.44884334730632
,10061.0,2574.0,6818.0,2960.0,1796.0,4314.0,35.2732882235389,9.024296182028538,23.90351646040038,10.377590015075551,6.296672860498545,15.124636258458086
31456.0,7423.0,2170.0,6921.0,3103.0,1694.0,7156.0,26.07580707485861,7.622861558998138,,,5.950749991217901,
30160.0,8862.0,1350.0,6851.0,2935.0,2393.0,3004.0,34.89663319551093,5.316007088009451,26.977751525890923,11.557393187635364,9.42311478637527,11.829100216578066
34364.0,7772.0,739.0,4684.0,2933.0,1676.0,2496.0,38.285714285714285,3.640394088669951,23.073891625615765,14.448275862068966,8.25615763546798,12.295566502463052
33660.0,7888.0,2074.0,5534.0,2611.0,2423.0,8852.0,26.846368524947245,7.05874344836975,18.834660676604724,8.886393029746104,8.246545504050099,30.12728881628208
28454.0,7245.0,,6822.0,3470.0,2009.0,3684.0,28.838116466982445,7.534928153484854,27.154400350276635,13.812044739879791,,14.663853839111573
32024.0,10689.0,1511.0,6041.0,3038.0,1739.0,2378.0,42.08930540242558,5.949755867065679,23.787210584343992,11.962513781697904,6.847535044888958,9.363679319577884
,6534.0,1149.0,4926.0,2912.0,2309.0,1515.0,33.77616955285603,5.939519255621608,25.46394417162057,15.052985267510984,11.935900749547686,7.831481002843112
25730.0,56238.0,1632.0,6458.0,2626.0,1636.0,7150.0,,6.271857345989777,24.818415894854155,10.09184889128012,6.287229545367204,27.47780638714884
36452.0,12241.0,1902.0,5285.0,2334.0,2319.0,4317.0,43.10514824987675,6.69765476442003,18.610465525741247,8.218888654130572,8.166068032960068,15.20177477287133
30275.0,9955.0,2332.0,7794.0,,2106.0,4492.0,32.82012396149281,7.688250032968483,25.69563497296585,12.043386522484504,6.943162336806013,14.809442173282342
40243.0,3229.0,2094.0,7544.0,3277.0,1701.0,,14.33454674598242,9.295924709224897,33.49018911480067,14.547633845334278,7.551274083281541,20.78043150137619
21872.0,,2804.0,6604.0,2188.0,2264.0,7025.0,24.74958564531239,10.103048209267133,23.79476832168336,7.88354831735966,,25.311666786769475
27216.0,4376.0,1482.0,7361.0,3381.0,2273.0,4640.0,18.61098115935865,,31.306085994981498,,9.66699272742738,19.733764300599667
30163.0,6098.0,,6064.0,,2578.0,9688.0,20.106169013155725,8.045105344719575,19.99406508622111,,8.500115401101256,31.943024827722645
,1722.0,2023.0,6765.0,3062.0,2483.0,5267.0,8.076165462902168,9.48785292186474,31.7277928899728,,11.64524903855173,24.70218553606604
,7726.0,2347.0,7477.0,3799.0,2245.0,7123.0,25.152195852459556,,24.341569814760557,12.367744245857343,7.308656444314224,23.18911352020054
31552.0,5716.0,1781.0,6245.0,,1436.0,6610.0,22.9595115681234,7.153759640102828,25.08435089974293,12.483933161953727,,26.550449871465297
24363.0,8119.0,2535.0,5744.0,2291.0,3224.0,4927.0,30.249627421758568,9.444858420268258,21.40089418777944,8.535767511177347,12.01192250372578,18.35692995529061
24215.0,4749.0,2147.0,4295.0,3182.0,1298.0,3826.0,24.357593475919373,11.01195055649587,22.02903010719598,16.3204595578807,6.657434477099041,19.62353182540904
31612.0,8165.0,1660.0,5916.0,3122.0,2474.0,5663.0,,6.148148148148149,21.91111111111111,11.562962962962962,9.162962962962965,20.97407407407407
23179.0,7170.0,1993.0,6823.0,2698.0,2215.0,6020.0,26.635461941379692,7.403692559158959,25.346409599167878,10.02266057431554,8.228388870314648,22.363386455663285
150330.0,,1880.0,6945.0,3286.0,1412.0,3854.0,,6.624383368569416,24.47145877378436,11.578576462297391,,13.579985905567302
32504.0,10822.0,2244.0,6504.0,2166.0,1937.0,5332.0,37.31080848129633,7.73659713842441,22.42372004826754,7.467677986554043,6.678158938114118,18.38303740734356
25088.0,9570.0,1410.0,5458.0,3495.0,1960.0,7472.0,,,18.5867529371701,11.901924059254211,6.6746126340882,25.44525796015665
38026.0 USD,7346.0,1985.0,4023.0,2560.0,2652.0,9139.0,,7.16477170185887,14.52084461288576,9.240209348493051,9.57227937195452,
,11970.0,2197.0,5504.0,2507.0,1643.0,25802.5,39.20862131088473,7.196436175439745,18.028759540109405,8.21186412918864,5.381768154869141,21.97255068950833
22142.0,56238.0,2016.0,5695.0,2943.0,1869.0,8725.0,18.71772311694273,,21.78570062354156,11.258176810374508,7.149688229218469,33.376687961439885
25338.0,5192.0,2673.0,5687.0,3216.0,831.0,3741.0,24.329896907216494,12.525773195876289,26.649484536082475,,3.8940955951265233,
18571.0,7832.0,2387.0,,3081.0,2867.0,6403.0,26.83294504590928,8.178018363711114,22.673701521173083,10.555707825133616,9.822529806769904,21.937097437303
26087.0,12508.0,1996.0,7985.0,2628.0,1464.0,7677.0,36.51117987039524,5.826376320859361,,7.67120088738397,4.273454375620293,22.40936423609084
33831.0,7595.0,2108.0,6123.0,2746.0,2163.0,3207.0,31.72249603207752,8.804611143597025,25.574304569375997,11.469384345501629,9.034332971347425,13.394870938100407
27930.0,7633.0,2147.0,5783.0,2433.0,1949.0,4028.0,31.83998665164977,8.95590873065532,24.12297167646936,10.148917532223752,8.129979560338715,
32303.0,5116.0,2201.0,,2887.0,1950.0,8475.0,19.401570025408624,8.346922522659185,21.767985134058936,10.948462209412568,7.395047214532216,32.14001289392848
22388.0,9891.0,1087.0,6124.0,3537.0,,3049.0,37.90817108692319,4.166027901272421,23.470795646175077,13.55587919668864,9.213552046604324,11.685574122336348
,9906.0,1849.0,5171.0,,2835.0,2317.0,39.50548354935194,7.373878364905284,,11.952143569292122,11.306081754735793,9.240279162512463
27224.0,9578.0,1257.0,6120.0,3429.0,2125.0,8055.0,31.337521266849887,4.11268158617982,,11.219081272084804,6.952624002093967,26.35453474676089
30060.0,6741.0,2639.0,6450.0,3727.0,2327.0,7393.0,23.024900092222563,9.013901697578303,22.0309457936264,12.730129453154357,7.948218738258701,25.251904225159684
29535.0,6586.0,1969.0,6209.0,2705.0,2164.0,5864.0,,7.722477154175,24.35188453543554,10.609091265639096,8.487273012511276,
23642.0,,1903.0,,,2508.0,,22.465241751400704,7.897904129487446,26.798090890226188,12.060593484125338,10.40879850591409,20.369371238846234
24234.0,8167.0,2448.0,6433.0,4085.0,1768.0,4122.0,30.222403138067573,9.058949783517743,23.80564704140917,15.11675239610702,6.542574843651703,15.25367279724679
34838.0,5839.0,2211.0,4228.0,3722.0,2537.0,5563.0,24.228215767634858,9.17427385892116,17.543568464730292,15.443983402489629,10.526970954356846,23.08298755186722
31994.0,5645.0,1435.0,6636.0,,2555.0,8159.0,21.227390666716804,5.396156883390366,24.9539352461174,8.133719399842064,9.607791524085286,
35250.0,56238.0,1964.0,5328.0,3193.0,2541.0,5477.0,27.87760670434613,7.65542779185344,,12.44591697524849,9.90450204638472,21.348664977587216
31623.0,7021.0,1832.0,4904.0,3000.0,1669.0,9333.0,25.292697863755897,6.599661371086854,17.666342447494507,10.807305738679348,,33.62152815303145
,6924.0,1127.0,4895.0,3413.0,1915.0,3204.0,32.2376385138281,5.247229723437936,22.79076264084179,15.89067883415588,8.916100195548934,14.917590092187355
21369.0,8932.0,,6433.0,2627.0,2119.0,4960.0,33.421889616463986,6.188961646398504,24.0710944808232,9.82974742750234,7.9289055191768,18.559401309635174
28648.0,8158.0,1908.0,5777.0,2580.0,1314.0,4253.0,34.005835764902045,7.953313880783659,24.080867027928303,,5.477282200917049,17.728220091704877
29863.0,7423.0,1942.0,4318.0,2661.0,2797.0,,33.78698224852071,8.839326354119253,19.654073736913976,12.11197086936732,12.73099681383705,
39765.0,8366.0,1258.0,6478.0,2714.0,1993.0,4693.0,32.80527017488824,4.9329464355736805,25.401929260450164,10.642302564504744,7.815073327582151,18.40247823700102
33434.0,6016.0,2575.0,4560.0,3407.0,2141.0,5834.0,24.522072310765093,10.49606652264297,18.587209065340563,13.887416948599846,8.727020747564506,23.780214405087023
